age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
56.00,Male,Unemployed,4.18,Facebook,61.00,6.75,8.04,7.29,4.00,5.12,0.42,8.00,FALSE,FALSE,4.00,11.00,21.93,6.34
46.00,Male,Health,3.25,Twitter,59.00,9.17,5.06,5.17,7.00,5.10,0.67,7.00,TRUE,TRUE,2.00,25.00,0.00,3.41
56.00,Female,Unemployed,4.38,TikTok,60.00,3.90,6.42,5.98,7.00,7.55,2.25,4.00,FALSE,FALSE,4.00,20.00,24.08,5.50
36.00,Female,Education,4.09,Twitter,49.00,6.56,2.68,2.45,4.00,6.33,0.75,2.00,FALSE,FALSE,4.00,29.00,8.42,3.44
28.00,Male,IT,3.34,Twitter,57.00,11.02,8.94,7.98,4.00,3.95,1.03,5.00,TRUE,TRUE,1.00,3.00,13.51,9.41
57.00,Male,Education,0.00,Twitter,60.00,6.82,8.85,7.93,5.00,6.76,1.34,3.00,FALSE,FALSE,4.00,27.00,18.05,7.56
41.00,Male,Education,3.77,TikTok,65.00,8.64,7.51,6.77,10.00,7.92,1.26,6.00,TRUE,FALSE,4.00,20.00,12.77,6.85
20.00,Male,Student,5.83,TikTok,67.00,4.72,2.65,2.86,5.00,8.30,1.09,9.00,FALSE,FALSE,4.00,0.00,8.10,2.18
39.00,Male,Finance,2.31,Twitter,64.00,7.05,6.98,6.63,9.00,4.85,0.07,2.00,FALSE,FALSE,3.00,9.00,12.11,
19.00,Male,Health,5.62,Twitter,52.00,8.20,2.15,2.06,1.00,5.22,1.96,3.00,FALSE,FALSE,2.00,6.00,20.03,1.73
61.00,Female,Education,1.45,Twitter,62.00,6.42,6.87,5.96,6.00,6.98,0.00,4.00,TRUE,TRUE,3.00,17.00,14.09,5.44
47.00,Other,Health,1.44,TikTok,63.00,7.61,7.83,6.97,7.00,5.40,1.04,10.00,FALSE,FALSE,2.00,22.00,3.57,6.49
55.00,Female,Finance,0.07,TikTok,50.00,7.09,8.97,8.12,5.00,5.22,0.88,2.00,FALSE,FALSE,1.00,21.00,4.72,8.55
19.00,Male,Health,5.92,Twitter,65.00,6.59,3.87,2.97,5.00,5.55,0.83,1.00,FALSE,FALSE,2.00,22.00,10.62,3.21
38.00,Male,IT,4.03,TikTok,57.00,6.30,6.85,6.07,7.00,5.01,1.26,6.00,TRUE,FALSE,1.00,13.00,14.25,5.78
29.00,Male,Student,1.55,Telegram,52.00,7.97,8.56,7.21,3.00,6.71,0.77,8.00,FALSE,FALSE,0.00,22.00,6.72,7.59
39.00,Female,Education,4.59,Facebook,73.00,10.62,3.23,3.66,2.00,6.77,1.96,5.00,TRUE,FALSE,0.00,15.00,16.92,4.42
42.00,Male,Health,2.08,Telegram,57.00,8.25,5.14,4.77,3.00,3.00,1.56,0.00,TRUE,TRUE,2.00,0.00,16.44,6.18
45.00,Male,Student,1.00,Telegram,56.00,7.50,4.35,3.62,8.00,5.51,0.85,5.00,TRUE,FALSE,2.00,16.00,1.86,5.57
33.00,Male,Unemployed,0.77,Twitter,62.00,2.20,2.98,2.40,7.00,4.96,1.17,6.00,TRUE,FALSE,3.00,1.00,16.98,3.78
32.00,Female,Finance,2.71,Twitter,59.00,5.40,8.31,7.99,7.00,7.18,0.24,0.00,FALSE,FALSE,2.00,21.00,23.09,8.51
61.00,Female,Student,2.48,TikTok,61.00,7.67,5.29,4.52,10.00,7.38,1.02,0.00,FALSE,FALSE,2.00,10.00,13.48,5.59
54.00,Male,Education,1.75,Facebook,57.00,6.30,3.94,3.88,4.00,8.04,0.91,4.00,FALSE,FALSE,3.00,13.00,13.08,5.51
38.00,Female,Health,3.09,TikTok,67.00,7.09,5.56,4.66,8.00,8.00,1.69,8.00,FALSE,FALSE,2.00,25.00,3.35,4.87
35.00,Male,Unemployed,0.55,Facebook,46.00,4.87,3.08,2.97,5.00,5.43,0.86,6.00,TRUE,FALSE,2.00,4.00,11.54,2.34
21.00,Male,Unemployed,0.40,Instagram,60.00,9.64,8.87,7.93,4.00,5.80,1.31,7.00,FALSE,TRUE,1.00,5.00,19.53,8.96
42.00,Female,Finance,5.04,Twitter,58.00,6.29,7.55,6.83,3.00,7.41,2.97,3.00,FALSE,FALSE,1.00,2.00,21.70,6.13
26.00,Male,Education,3.56,Instagram,51.00,9.28,8.48,7.05,6.00,5.23,,5.00,FALSE,FALSE,2.00,30.00,0.00,6.83
